ID,Module,Feature Group,Endpoint,Role,User Story,Expected Behaviour,Params,Status,Test Result / Errors,Automated Test Coverage,Notes
US-153,Flatmates,flatmates,PUT /api/v1/flatmates/matches/{match_id}/unmatch,Authenticated user,"As authenticated user, I want to unmatch conversation.",Unmatch conversation.,match_id,Pending,,,
US-154,Flatmates,flatmates-admin,GET /api/v1/flatmates/moderation/listings,Authenticated user,"As authenticated user, I want to list pending listings.",Get listings pending moderation review. Requires admin role.,status,Pending,,,
US-155,Flatmates,flatmates-admin,PUT /api/v1/flatmates/moderation/listings/{listing_id},Authenticated user,"As authenticated user, I want to moderate listing.","Moderate a listing: approve, reject, or request edit. Requires admin role.",listing_id,Pending,,,
US-156,Flatmates,flatmates-admin,POST /api/v1/flatmates/moderation/prescreen/{listing_id},Authenticated user,"As authenticated user, I want to prescreen listing.",Run deterministic AI pre-screening for a flatmates listing. Requires admin role.,listing_id,Pending,,,
US-157,Flatmates,flatmates-admin,GET /api/v1/flatmates/moderation/reports,Authenticated user,"As authenticated user, I want to list pending reports.",Get user reports pending review. Requires admin role.,status,Pending,,,
US-158,Flatmates,flatmates-admin,PUT /api/v1/flatmates/moderation/reports/{report_id},Authenticated user,"As authenticated user, I want to moderate report.",Moderate a user report. Requires admin role.,report_id,Pending,,,
US-159,Flatmates,flatmates,GET /api/v1/flatmates/notifications,Authenticated user,"As authenticated user, I want to list flatmates notifications.",List flatmates notifications.,,Pending,,,
US-160,Flatmates,flatmates,PUT /api/v1/flatmates/notifications,Authenticated user,"As authenticated user, I want to mark flatmates notifications.",Mark flatmates notifications.,,Pending,,,
US-161,Flatmates,flatmates,PUT /api/v1/flatmates/notifications/{notification_id},Authenticated user,"As authenticated user, I want to mark flatmates notification.",Mark flatmates notification.,notification_id,Pending,,,
US-162,Flatmates,flatmates,GET /api/v1/flatmates/outgoing-likes,Authenticated user,"As authenticated user, I want to list outgoing likes.",List outgoing likes.,,Pending,,,
US-163,Flatmates,flatmates,GET /api/v1/flatmates/profile,Authenticated user,"As authenticated user, I want to get current flatmate profile.",Get current flatmate profile.,,Pending,,,
US-164,Flatmates,flatmates,PUT /api/v1/flatmates/profile,Authenticated user,"As authenticated user, I want to update flatmate profile.",Update flatmate profile.,,Pending,,,
US-165,Flatmates,flatmates,PATCH /api/v1/flatmates/profile,Authenticated user,"As authenticated user, I want to patch flatmate profile.",Patch flatmate profile.,,Pending,,,
US-166,Flatmates,flatmates,POST /api/v1/flatmates/profile,Authenticated user,"As authenticated user, I want to create flatmate profile.",Create flatmate profile.,,Pending,,,
US-167,Flatmates,flatmates,POST /api/v1/flatmates/profile-views,Authenticated user,"As authenticated user, I want to record profile view.",Record profile view.,,Pending,,,
US-168,Flatmates,flatmates,GET /api/v1/flatmates/profiles,Authenticated user,"As authenticated user, I want to discover flatmate profiles.",Discover flatmate profiles.,"city,budget_min,budget_max,move_in,lat,lng,radius,non_negotiables",Pending,,,
US-169,Flatmates,flatmates,GET /api/v1/flatmates/profiles/{user_id},Authenticated user,"As authenticated user, I want to get flatmate profile by user.",Get flatmate profile by user.,user_id,Pending,,,
US-170,Flatmates,flatmates,POST /api/v1/flatmates/reports,Authenticated user,"As authenticated user, I want to report user.",Report user.,,Pending,,,
US-171,Flatmates,flatmates,GET /api/v1/flatmates/sse,Authenticated user,"As authenticated user, I want to stream flatmates events (SSE).",SSE stream for flatmates real-time events.,,Pending,,,
US-172,Flatmates,flatmates,POST /api/v1/flatmates/swipes,Authenticated user,"As authenticated user, I want to swipe flatmate profile.",Swipe flatmate profile.,,Pending,,,
US-173,Flatmates,flatmates,PUT /api/v1/flatmates/visits/{visit_id},Authenticated user,"As authenticated user, I want to update flatmate visit.",Update flatmate visit.,visit_id,Pending,,,
US-174,Ghar Core,agents,GET /api/v1/agents,Admin,"As admin, I want to list all agents.",Get list of all agents (admin endpoint),include_inactive,Pending,,,
US-175,Ghar Core,agents,POST /api/v1/agents,Admin,"As admin, I want to create agent.",Create a new agent (admin endpoint),,Pending,,,
US-176,Ghar Core,agents,POST /api/v1/agents/assign,Authenticated user,"As authenticated user, I want to assign agent to me.",Assign an agent to the current user (auto-assign if no agent_id provided),agent_id,Pending,,,
US-177,Ghar Core,agents,GET /api/v1/agents/assigned,Authenticated user,"As authenticated user, I want to get my assigned agent.",Get the current user's assigned agent,,Pending,,,
US-178,Ghar Core,agents,GET /api/v1/agents/available,Authenticated user,"As authenticated user, I want to list available agents.",Get list of available agents with optional filters,"specialization,agent_type",Pending,,,
US-179,Ghar Core,agents,GET /api/v1/agents/me,Agent / RM,"As agent / rm, I want to get my agent profile.",Return the current agent user's Agent profile. Assumes the agent user's `agent_id` links to their Agent record.,,Pending,,,
US-180,Ghar Core,agents,GET /api/v1/agents/specializations/{specialization},Authenticated user,"As authenticated user, I want to list agents by specialization.",Get agents by specialization - returns all active agents,specialization,Pending,,,
US-181,Ghar Core,agents,GET /api/v1/agents/system/stats,Admin,"As admin, I want to get system statistics.",Get overall agent system statistics (admin endpoint),,Pending,,,
US-182,Ghar Core,agents,GET /api/v1/agents/system/workload,Admin,"As admin, I want to get system workload.",Get workload distribution across all agents (admin endpoint),,Pending,,,
US-183,Ghar Core,agents,GET /api/v1/agents/types/{agent_type},Authenticated user,"As authenticated user, I want to list agents by type.","Get agents by type (general, specialist, senior)",agent_type,Pending,,,
US-184,Ghar Core,agents,GET /api/v1/agents/{agent_id},Authenticated user,"As authenticated user, I want to get agent details.",Get details of a specific agent,agent_id,Pending,,,
US-185,Ghar Core,agents,PUT /api/v1/agents/{agent_id},Admin,"As admin, I want to update agent.",Update agent details (admin endpoint),agent_id,Pending,,,
US-186,Ghar Core,agents,DELETE /api/v1/agents/{agent_id},Admin,"As admin, I want to deactivate agent.",Deactivate an agent (admin endpoint),agent_id,Pending,,,
US-187,Ghar Core,agents,PATCH /api/v1/agents/{agent_id}/availability,Admin,"As admin, I want to update agent availability.",Update agent availability (admin endpoint),"agent_id,is_available",Pending,,,
US-188,Ghar Core,agents,GET /api/v1/agents/{agent_id}/stats,Authenticated user,"As authenticated user, I want to get agent statistics.",Get agent details with performance statistics,agent_id,Pending,,,
US-189,Ghar Core,agents,GET /api/v1/agents/{agent_id}/visits,Authenticated user,"As authenticated user, I want to get agent visit history.",Get visits handled by a specific agent. Authorization: - Admin users can view any agent's visits - Agent users can view their own visits - Regular users can view visits for their assigned agent,agent_id,Pending,,,
US-190,Ghar Core,amenities,GET /api/v1/amenities,Public,"As public, I want to list amenities.",List all available amenities (cached for 24 hours).,,Pending,,,
US-191,Ghar Core,dashboard,GET /api/v1/dashboard/realtime,Authenticated user,"As authenticated user, I want to get realtime dashboard stats.",Get realtime analytics metrics for the current user's tours.,,Pending,,,
US-192,Ghar Core,dashboard,GET /api/v1/dashboard/stats,Authenticated user,"As authenticated user, I want to get dashboard stats.",Get dashboard statistics for the current user. Returns aggregate stats including: - Total tours and published tours - Total views across all tours - Total scenes - Storage usage and limits,,Pending,,,
US-193,Ghar Core,properties,POST /api/v1/properties,Authenticated user,"As authenticated user, I want to create property.",Create a new property (requires authentication),owner_id,Pending,,,
US-194,Ghar Core,properties,GET /api/v1/properties,Public (auth optional),"As public (auth optional), I want to list properties.",Get properties with comprehensive filtering and optional authentication. This endpoint supports: - Location-based search (lat/lng + radius) - Text search (q parameter) and optional semantic search (`semantic_search=true`) - Comprehensive property filtering - Multiple sorting options - Optional user authentication - Auth-aware filter: exclude swiped properties when `exclude_swiped=true`,,Pending,,,
US-195,Ghar Core,properties,GET /api/v1/properties/me,Authenticated user,"As authenticated user, I want to list my properties.",List properties owned by the current user (requires authentication).,,Pending,,,
US-196,Ghar Core,properties,GET /api/v1/properties/recommendations,Public (auth optional),"As public (auth optional), I want to list recommended properties.","Get property recommendations with optional authentication. - With authentication: Personalized recommendations based on user preferences and swipes - Without authentication: Popular properties based on likes and recency Note: `total` is always null for recommendations (no cheap COUNT query). Pass `include_total=true` to request it, but the service does not compute it and will return `null`.",,Pending,,,
US-197,Ghar Core,properties,GET /api/v1/properties/semantic-search,Public (auth optional),"As public (auth optional), I want to semantic property search.",Perform semantic (vector-powered) property search. Combines vector similarity with traditional filters and returns relevance scores.,,Pending,,,
US-198,Ghar Core,properties,GET /api/v1/properties/{property_id},Public (auth optional),"As public (auth optional), I want to get property details.",Get property details,property_id,Pending,,,
US-199,Ghar Core,properties,PUT /api/v1/properties/{property_id},Authenticated user,"As authenticated user, I want to update property.",Update property details,property_id,Pending,,,
US-200,Ghar Core,properties,DELETE /api/v1/properties/{property_id},Authenticated user,"As authenticated user, I want to delete property.",Delete a property,property_id,Fixed & Verified,BUG: delete crashed with ModuleNotFoundError (imported Visit from non-existent app.models.visits). Fixed import -> app.models.properties. Verified by test.,,
US-201,Ghar Core,swipes,POST /api/v1/swipes,Authenticated user,"As authenticated user, I want to swipe property.",Record a property swipe (like/dislike),,Pending,,,
US-202,Ghar Core,swipes,GET /api/v1/swipes,Authenticated user,"As authenticated user, I want to list swipe history.",Get user's swipe history with comprehensive filtering and property details. This endpoint supports: - Location-based search (lat/lng + radius) - Text search (q parameter) - Comprehensive property filtering - Multiple sorting options - Swipe-specific filters (liked/disliked) - Cursor-based pagination,"lat,lng,radius,q,property_type,purpose,price_min,price_max,bedrooms_min,bedrooms_max,bathrooms_min,bathrooms_max,area_min,area_max,city,locality,pincode,amenities,features,parking_spaces_min,floor_number_min,floor_number_max,age_max,check_in,check_out,guests,is_liked,sort_by",Pending,,,
US-203,Ghar Core,swipes,POST /api/v1/swipes/batch-remove,Authenticated user,"As authenticated user, I want to batch remove swipes.",Remove many liked swipes for the current user in a single request.,,Pending,,,
US-204,Ghar Core,swipes,GET /api/v1/swipes/stats,Authenticated user,"As authenticated user, I want to get swipe statistics.",Get user's swipe statistics,,Pending,,,
US-205,Ghar Core,swipes,DELETE /api/v1/swipes/undo,Authenticated user,"As authenticated user, I want to undo last swipe.",Undo the last swipe for the user,,Pending,,,
US-206,Ghar Core,swipes,PUT /api/v1/swipes/{swipe_id}/toggle,Authenticated user,"As authenticated user, I want to toggle swipe like.",Toggle the like status of an existing swipe,swipe_id,Pending,,,
US-207,Ghar Core,visits,POST /api/v1/visits,Authenticated user,"As authenticated user, I want to schedule a visit.",Schedule a visit.,,Pending,,,
US-208,Ghar Core,visits,GET /api/v1/visits,Authenticated user,"As authenticated user, I want to list my visits.",List my visits.,,Pending,,,
US-209,Ghar Core,visits,GET /api/v1/visits/all,Authenticated user,"As authenticated user, I want to list all visits.",Global visits listing. Admins see all; agents see their managed users/properties.,"status,agent_id,property_id,user_id",Pending,,,
US-210,Ghar Core,visits,GET /api/v1/visits/past,Authenticated user,"As authenticated user, I want to list past visits.",List past visits.,,Pending,,,
US-211,Ghar Core,visits,GET /api/v1/visits/upcoming,Authenticated user,"As authenticated user, I want to list upcoming visits.",List upcoming visits.,,Pending,,,
US-212,Ghar Core,visits,GET /api/v1/visits/{visit_id},Authenticated user,"As authenticated user, I want to get visit details.",Get visit details.,visit_id,Pending,,,
US-213,Ghar Core,visits,PUT /api/v1/visits/{visit_id},Authenticated user,"As authenticated user, I want to update visit.",Update visit.,visit_id,Pending,,,
US-214,Ghar Core,visits,POST /api/v1/visits/{visit_id}/cancel,Authenticated user,"As authenticated user, I want to cancel visit.",Cancel visit.,visit_id,Pending,,,
US-215,Ghar Core,visits,POST /api/v1/visits/{visit_id}/complete,Authenticated user,"As authenticated user, I want to complete visit.",Mark a visit as completed. Admins or responsible Agents only.,visit_id,Pending,,,
US-216,Ghar Core,visits,POST /api/v1/visits/{visit_id}/reschedule,Authenticated user,"As authenticated user, I want to reschedule visit.",Reschedule visit.,visit_id,Pending,,,
US-217,Media & Upload,upload,POST /api/v1/upload,Authenticated user,"As authenticated user, I want to upload file.",Upload a single file with MediaFile tracking. Files are uploaded to user-scoped paths: users/{user_id}/...,,Pending,,,
US-218,Media & Upload,upload,POST /api/v1/upload/batch,Authenticated user,"As authenticated user, I want to upload files in batch.",Upload multiple files in a single request. Files are uploaded to user-scoped paths: users/{user_id}/...,,Pending,,,
US-219,Media & Upload,upload,POST /api/v1/upload/confirm/{upload_id},Authenticated user,"As authenticated user, I want to confirm upload.",Confirm a client-side upload completed successfully. Call this endpoint after uploading a file directly to storage using the signed URL from /presigned. This verifies the file exists and updates the MediaFile record status from 'pending' to 'complete'.,upload_id,Pending,,,
US-220,Media & Upload,upload,GET /api/v1/upload/media,Authenticated user,"As authenticated user, I want to list media files.",List uploaded media files for the current user.,"tour_id,folder,mime_type,visibility,is_processed,upload_status",Pending,,,
US-221,Media & Upload,upload,POST /api/v1/upload/media/batch-delete,Authenticated user,"As authenticated user, I want to bulk delete media files.",Delete up to 50 media files in a single request. Only media owned by the current user are deleted. IDs that are not found or are owned by another user are returned in the ``failed`` list.,,Pending,,,
US-222,Media & Upload,upload,GET /api/v1/upload/media/{media_id},Authenticated user,"As authenticated user, I want to get media file.",Get a single media file for the current user.,media_id,Pending,,,
US-223,Media & Upload,upload,DELETE /api/v1/upload/media/{media_id},Authenticated user,"As authenticated user, I want to delete media file.",Delete a media file and attempt to remove the underlying object from storage. [HTTP 204 on success],media_id,Pending,,,
US-224,Media & Upload,upload,PATCH /api/v1/upload/media/{media_id},Authenticated user,"As authenticated user, I want to update media file.",Update media processing status or URLs.,media_id,Pending,,,
US-225,Media & Upload,upload,POST /api/v1/upload/presigned,Authenticated user,"As authenticated user, I want to create presigned uploads.","Create presigned upload URLs for direct client-side uploads. Returns signed URLs that clients can use to upload files directly to storage. After uploading, clients should call POST /upload/confirm/{upload_id} to confirm the upload completed successfully. Files are stored in user-scoped paths based on folder_type: - AVATAR: users/{user_id}/avatars/ - PROPERTY_IMAGE: users/{user_id}/properties/{property_id}/images/ - PROPERTY_VIDEO: users/{user_id}/properties/{property_id}/videos/ - TOUR/SCENE: users/{user_id}/tours/{tour_id}/scenes/{scene_id}/ - DOCUMENT_*: users/{user_id}/documents/{type}/ - GENERIC: users/{user_id}/uploads/",,Pending,,,
US-226,Notifications,notifications,POST /api/v1/notifications/deliveries/{delivery_id}/opened,Authenticated user,"As authenticated user, I want to mark delivery as opened.",Mark a delivery as opened for the current authenticated user.,delivery_id,Pending,,,
US-227,Notifications,notifications,POST /api/v1/notifications/devices/register,Public (auth optional),"As public (auth optional), I want to register notification device.",Register notification device.,,Pending,,,
US-228,Notifications,notifications,DELETE /api/v1/notifications/devices/unregister,Public (auth optional),"As public (auth optional), I want to unregister notification device.",Unregister notification device.,token,Pending,,,
US-229,Notifications,notifications,POST /api/v1/notifications/marketing/broadcast,Admin,"As admin, I want to send marketing broadcast.",Send a marketing notification to all active users (broadcast).,,Pending,,,
US-230,Notifications,notifications,POST /api/v1/notifications/marketing/segment,Admin,"As admin, I want to send marketing segment.",Send a marketing notification to a segment of users based on simple filters.,,Pending,,,
US-231,Notifications,notifications,POST /api/v1/notifications/send/bulk,Admin,"As admin, I want to send bulk notifications.",Send bulk notifications.,,Pending,,,
US-232,Notifications,notifications,POST /api/v1/notifications/send/token,Admin,"As admin, I want to send notification to token.",Send notification to token.,,Pending,,,
US-233,Notifications,notifications,POST /api/v1/notifications/send/topic,Admin,"As admin, I want to send notification to topic.",Send notification to topic.,,Pending,,,
US-234,Notifications,notifications,POST /api/v1/notifications/send/typed/user,Admin,"As admin, I want to send typed notification to user.","Send a typed, multi-channel notification to a single user by DB id.",,Pending,,,
US-235,Notifications,notifications,POST /api/v1/notifications/send/user,Admin,"As admin, I want to send notification to user.",Send notification to user.,,Pending,,,
US-236,Notifications,notifications,GET /api/v1/notifications/users/{user_id},Admin,"As admin, I want to list user notifications.",Return notifications sent to the specified user (by DB id).,user_id,Pending,,,
US-237,Property Management,pm-applications,GET /api/v1/pm/applications,Authenticated user,"As authenticated user, I want to list applications inbox.",List applications inbox.,"owner_id,property_id,status,submitted_from,submitted_to",Pending,,,
US-238,Property Management,pm-applications,POST /api/v1/pm/applications/forms,Authenticated user,"As authenticated user, I want to create application form.",Create application form.,,Pending,,,
US-239,Property Management,pm-applications,GET /api/v1/pm/applications/forms,Authenticated user,"As authenticated user, I want to list application forms.",List application forms.,"owner_id,property_id,q",Pending,,,
US-240,Property Management,pm-applications,GET /api/v1/pm/applications/forms/{form_id},Authenticated user,"As authenticated user, I want to get application form.",Get application form.,form_id,Pending,,,
US-241,Property Management,pm-applications,GET /api/v1/pm/applications/{application_id},Authenticated user,"As authenticated user, I want to get application detail.",Get application detail.,application_id,Pending,,,
US-242,Property Management,pm-applications,POST /api/v1/pm/applications/{application_id}/decision,Authenticated user,"As authenticated user, I want to decide on application.",Decide on application.,application_id,Pending,,,
US-243,Property Management,pm-assignments,POST /api/v1/pm/assignments,Authenticated user,"As authenticated user, I want to assign RM to owner.",Assign RM to owner.,,Pending,,,
US-244,Property Management,pm-assignments,PATCH /api/v1/pm/assignments/{owner_user_id},Authenticated user,"As authenticated user, I want to update RM assignment.",Update RM assignment.,owner_user_id,Pending,,,
US-245,Property Management,pm-dashboard,GET /api/v1/pm/dashboard/activity,Authenticated user,"As authenticated user, I want to get PM dashboard activity.",Get PM dashboard activity.,owner_id,Pending,,,
US-246,Property Management,pm-dashboard,GET /api/v1/pm/dashboard/overview,Authenticated user,"As authenticated user, I want to get PM dashboard overview.",Get PM dashboard overview.,owner_id,Pending,,,
US-247,Property Management,pm-documents,GET /api/v1/pm/documents,Authenticated user,"As authenticated user, I want to list property documents.",List property documents.,"owner_id,property_id,lease_id,user_id,maintenance_request_id,rental_application_id,document_type",Pending,,,
US-248,Property Management,pm-documents,POST /api/v1/pm/documents/upload,Authenticated user,"As authenticated user, I want to upload property document.",Upload property document.,,Pending,,,
US-249,Property Management,pm-documents,PATCH /api/v1/pm/documents/{document_id},Authenticated user,"As authenticated user, I want to update property document metadata.",Update property document metadata.,document_id,Pending,,,
US-250,Property Management,pm-documents,GET /api/v1/pm/documents/{document_id}/download,Authenticated user,"As authenticated user, I want to download property document.",Download property document.,document_id,Pending,,,
US-251,Property Management,pm-expenses,POST /api/v1/pm/expenses,Authenticated user,"As authenticated user, I want to create expense.",Create expense.,,Pending,,,
US-252,Property Management,pm-expenses,GET /api/v1/pm/expenses,Authenticated user,"As authenticated user, I want to list expenses.",List expenses.,"owner_id,property_id,category,start_date,end_date",Pending,,,
US-253,Property Management,pm-expenses,PATCH /api/v1/pm/expenses/{expense_id},Authenticated user,"As authenticated user, I want to update expense.",Update expense.,expense_id,Pending,,,
US-254,Property Management,pm-inspections,POST /api/v1/pm/inspections,Authenticated user,"As authenticated user, I want to create inspection checklist.",Create inspection checklist.,,Pending,,,
US-255,Property Management,pm-inspections,GET /api/v1/pm/inspections,Authenticated user,"As authenticated user, I want to list inspection checklists.",List inspection checklists.,"owner_id,lease_id,property_id",Pending,,,
US-256,Property Management,pm-inspections,GET /api/v1/pm/inspections/{inspection_id},Authenticated user,"As authenticated user, I want to get inspection checklist.",Get inspection checklist.,inspection_id,Pending,,,
US-257,Property Management,pm-inspections,POST /api/v1/pm/inspections/{inspection_id}/sign,Authenticated user,"As authenticated user, I want to sign inspection checklist.",Sign inspection checklist.,inspection_id,Pending,,,
US-258,Property Management,pm-leases,POST /api/v1/pm/leases,Authenticated user,"As authenticated user, I want to create lease.",Create lease.,,Pending,,,
US-259,Property Management,pm-leases,GET /api/v1/pm/leases,Authenticated user,"As authenticated user, I want to list leases.",List leases.,"owner_id,property_id,tenant_user_id,status",Pending,,,
US-260,Property Management,pm-leases,GET /api/v1/pm/leases/{lease_id},Authenticated user,"As authenticated user, I want to get lease.",Get lease.,lease_id,Pending,,,
US-261,Property Management,pm-leases,POST /api/v1/pm/leases/{lease_id}/renew,Authenticated user,"As authenticated user, I want to renew lease.",Renew lease.,lease_id,Pending,,,
US-262,Property Management,pm-leases,POST /api/v1/pm/leases/{lease_id}/terminate,Authenticated user,"As authenticated user, I want to terminate lease.",Terminate lease.,lease_id,Pending,,,
US-263,Property Management,pm-leases,POST /api/v1/pm/leases/{lease_id}/upload-signed,Authenticated user,"As authenticated user, I want to upload signed lease.",Upload signed lease.,lease_id,Pending,,,
US-264,Property Management,pm-maintenance,POST /api/v1/pm/maintenance/requests,Authenticated user,"As authenticated user, I want to submit maintenance request.",Submit maintenance request.,,Pending,,,
US-265,Property Management,pm-maintenance,GET /api/v1/pm/maintenance/requests,Authenticated user,"As authenticated user, I want to list maintenance requests.",List maintenance requests.,"owner_id,property_id,lease_id,request_status,work_order_status",Pending,,,
US-266,Property Management,pm-maintenance,PATCH /api/v1/pm/maintenance/requests/{request_id},Authenticated user,"As authenticated user, I want to update maintenance request.",Update maintenance request.,request_id,Fixed & Verified,"BUG: status state-machine referenced non-existent statuses (in_progress/on_hold) and omitted real ones (in_review/work_order_created), blocking all valid transitions. Rewrote ALLOWED_TRANSITIONS to match MaintenanceRequestStatus enum. Verified by test.",,
US-267,Property Management,pm-properties,POST /api/v1/pm/properties,Authenticated user,"As authenticated user, I want to create managed property.",Create managed property.,"owner_id,management_status,payment_due_day,grace_period_days",Pending,,,
US-268,Property Management,pm-properties,GET /api/v1/pm/properties,Authenticated user,"As authenticated user, I want to list managed properties.",List managed properties.,"owner_id,occupancy,q",Pending,,,
US-269,Property Management,pm-properties,GET /api/v1/pm/properties/{property_id},Authenticated user,"As authenticated user, I want to get managed property.",Get managed property.,property_id,Pending,,,
US-270,Property Management,pm-properties,PATCH /api/v1/pm/properties/{property_id},Authenticated user,"As authenticated user, I want to update managed property.",Update managed property.,property_id,Pending,,,
US-271,Property Management,pm-public,GET /api/v1/pm/public/applications/{slug},Public,"As public, I want to get public application form.",Get public application form.,slug,Pending,,,
US-272,Property Management,pm-public,POST /api/v1/pm/public/applications/{slug}/submit,Public,"As public, I want to submit public application.",Submit public application.,slug,Pending,,,
US-273,Property Management,pm-rent,GET /api/v1/pm/rent/charges,Authenticated user,"As authenticated user, I want to list rent charges.",List rent charges.,"as_tenant,owner_id,lease_id,property_id,status",Pending,,,
US-274,Property Management,pm-rent,POST /api/v1/pm/rent/charges/generate,Authenticated user,"As authenticated user, I want to generate rent charges.",Generate rent charges.,,Pending,,,
US-275,Property Management,pm-rent,POST /api/v1/pm/rent/charges/{charge_id}/tenant-payment-intent,Authenticated user,"As authenticated user, I want to create tenant payment intent.",Create tenant payment intent.,charge_id,Pending,,,
US-276,Property Management,pm-rent,POST /api/v1/pm/rent/payments,Authenticated user,"As authenticated user, I want to record rent payment.",Record rent payment.,,Pending,,,
US-277,Property Management,pm-rent,GET /api/v1/pm/rent/payments,Authenticated user,"As authenticated user, I want to list rent payments.",List rent payments.,"as_tenant,owner_id,lease_id,property_id",Pending,,,
US-278,Property Management,pm-reports,GET /api/v1/pm/reports/expenses,Authenticated user,"As authenticated user, I want to get expense report.",Get expense report.,"owner_id,start,end",Pending,,,
US-279,Property Management,pm-reports,GET /api/v1/pm/reports/income,Authenticated user,"As authenticated user, I want to get income report.",Get income report.,"owner_id,start,end",Pending,,,
US-280,Property Management,pm-reports,GET /api/v1/pm/reports/maintenance,Authenticated user,"As authenticated user, I want to get maintenance report.",Get maintenance report.,owner_id,Pending,,,
US-281,Property Management,pm-reports,GET /api/v1/pm/reports/occupancy,Authenticated user,"As authenticated user, I want to get occupancy report.",Get occupancy report.,owner_id,Pending,,,
US-282,Property Management,pm-reports,GET /api/v1/pm/reports/pnl,Authenticated user,"As authenticated user, I want to get profit & loss report.",Get profit & loss report.,"owner_id,start,end",Pending,,,
US-283,Property Management,pm-reports,GET /api/v1/pm/reports/rent-roll,Authenticated user,"As authenticated user, I want to get rent roll report.",Get rent roll report.,owner_id,Pending,,,
US-284,Property Management,pm-tenants,GET /api/v1/pm/tenants,Authenticated user,"As authenticated user, I want to list owner tenants.",List owner tenants.,owner_id,Pending,,,
US-285,Property Management,pm-tenants,GET /api/v1/pm/tenants/{tenant_user_id},Authenticated user,"As authenticated user, I want to get tenant details.",Get tenant details.,"tenant_user_id,owner_id",Pending,,,
US-286,Vastu,vastu,POST /api/v1/vastu/analyze,Public,"As public, I want to analyze floor plan vastu.","Analyze a floor plan image for Vastu Shastra compliance. This is a **public endpoint** - no authentication required. Upload a floor plan image and receive a comprehensive Vastu analysis including: - Overall Vastu score (1-10) - Room-by-room analysis with status ratings - Major defects identified with severity levels - Practical remedies and improvement suggestions - Full markdown report for display/download **Supported image formats:** JPEG, PNG, WebP (max 5MB) **North Direction Options:** - `up`: North is at the top of the image - `down`: North is at the bottom - `left`: North is to the left - `right`: North is to the right - `unknown`: Not sure (AI will attempt to detect) **AI Provider Options:** - `glm`: ZhipuAI GLM-5V-Turbo (default) - `gemini`: Google Gemini 3.1 Flash-Lite",,Pending,,,
US-287,Vastu,vastu,GET /api/v1/vastu/health,Public,"As public, I want to vastu health check.",Health check endpoint for the Vastu analyzer service.,,Pending,,,
US-288,Virtual Tours,ai,GET /api/v1/ai/jobs,Authenticated user,"As authenticated user, I want to list AI jobs.",List AI processing jobs for the current user. Returns jobs with optional status filtering and cursor pagination.,status_filter,Pending,,,
US-289,Virtual Tours,ai,GET /api/v1/ai/jobs/{job_id},Authenticated user,"As authenticated user, I want to get AI job.",Get the status and result of an AI processing job. Returns the job details including progress and results if completed.,job_id,Pending,,,
US-290,Virtual Tours,ai,POST /api/v1/ai/jobs/{job_id}/cancel,Authenticated user,"As authenticated user, I want to cancel AI job.",Cancel a running AI processing job. Only pending or processing jobs can be cancelled.,job_id,Pending,,,
US-291,Virtual Tours,ai,POST /api/v1/ai/scenes/{scene_id}/analyze,Authenticated user,"As authenticated user, I want to analyze scene.","Analyze a single scene using AI. Returns room type, suggested title/description, and quality assessment.",scene_id,Pending,,,
US-292,Virtual Tours,ai,POST /api/v1/ai/scenes/{scene_id}/apply-hotspots,Authenticated user,"As authenticated user, I want to apply hotspot suggestions.",Apply AI hotspot suggestions to a scene. Creates hotspots based on the selected suggestion IDs.,"scene_id,job_id",Pending,,,
US-293,Virtual Tours,ai,POST /api/v1/ai/scenes/{scene_id}/description,Authenticated user,"As authenticated user, I want to generate scene description.",Generate AI description for a scene. Creates a compelling description based on the panorama content.,scene_id,Pending,,,
US-294,Virtual Tours,ai,POST /api/v1/ai/scenes/{scene_id}/hotspots,Authenticated user,"As authenticated user, I want to suggest scene hotspots.",Get AI-suggested hotspots for a scene. Analyzes the panorama to suggest optimal navigation and info hotspot placements.,scene_id,Pending,,,
US-295,Virtual Tours,ai,POST /api/v1/ai/tours/generate,Authenticated user,"As authenticated user, I want to generate tour.",Generate a new tour from uploaded 360 images using AI. Accepts multipart/form-data with image files and tour options. Images are uploaded to storage and then processed by AI to: - Detect room types - Generate scene titles and descriptions - Optionally suggest hotspot placements,,Pending,,,
US-296,Virtual Tours,ai,POST /api/v1/ai/tours/{tour_id}/analyze,Authenticated user,"As authenticated user, I want to analyze tour scenes.","Analyze all scenes in a tour using AI. Detects room types, suggests titles/descriptions, and evaluates image quality. Returns a job ID for tracking progress.",tour_id,Pending,,,
US-297,Virtual Tours,ai,POST /api/v1/ai/tours/{tour_id}/apply-analysis,Authenticated user,"As authenticated user, I want to apply scene analysis.",Apply AI scene analysis suggestions to scenes. Updates scene titles and descriptions based on selected suggestions.,tour_id,Pending,,,
US-298,Virtual Tours,ai,POST /api/v1/ai/tours/{tour_id}/descriptions,Authenticated user,"As authenticated user, I want to generate tour descriptions.",Generate AI descriptions for all scenes in a tour. Creates descriptions for each scene based on panorama content.,tour_id,Pending,,,
US-299,Virtual Tours,ai,POST /api/v1/ai/tours/{tour_id}/hotspots,Authenticated user,"As authenticated user, I want to suggest tour hotspots.",Get AI-suggested hotspots for all scenes in a tour. Analyzes all panoramas and suggests navigation hotspots to connect scenes.,tour_id,Pending,,,
